CustomerID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,AvgOrderValue,PC1,PC2
12347,2,7,2783.37,1701,93,397.6242857142857,3.2903771938253206,-0.6587708195600768
12348,249,3,90.19999999999999,140,6,30.066666666666663,-2.3772491913279765,-0.9728763472948418
12349,19,1,939.75,511,57,939.75,1.3792734585565474,1.663138898870179
12350,310,1,294.40000000000003,196,16,294.40000000000003,-0.9775855119884664,1.6276495169318772
12352,36,7,1130.94,500,49,161.56285714285715,1.3315387626976851,-0.5259034430654824
12353,204,1,29.300000000000004,14,2,29.300000000000004,-4.319302984910296,-0.8589651646546985
12354,232,1,642.13,355,39,642.13,0.2593352558291188,2.3023497783444977
12355,214,1,179.4,72,8,179.4,-1.902240931976963,0.9195606837234862
12356,246,2,491.06,386,25,245.53,-0.15604042322582604,1.2019466922821078
12357,33,1,1289.3500000000001,1077,67,1289.3500000000001,1.8472236945489766,2.2239282969118066
12358,2,2,92.82,70,5,46.41,-1.7013711237188258,-2.329064976465253
12359,58,4,3072.9300000000003,1405,156,768.2325000000001,2.8086050848901998,1.5101699439871168
12360,52,3,1793.3600000000001,1076,97,597.7866666666667,2.108920513494391,1.332990635475408
12361,287,1,174.9,90,9,174.9,-1.8641604617792744,1.0442831249929139
12362,3,10,3922.54,1952,170,392.254,3.826840989923324,-0.6990339747190238
12363,110,2,345.78,318,17,172.89,-0.47497360321756177,0.5160335501562562
12364,8,3,1106.28,1281,67,368.76,2.032182113739612,0.14783686064804766
12365,291,1,307.94,172,20,307.94,-0.8908341545084195,1.6515006098811933
12367,4,1,138.3,112,9,138.3,-1.082223674123309,-0.8428171553619523
12370,51,4,1927.73,1090,118,481.9325,2.2642477226532,1.009636912531553
12371,60,1,1201.46,472,56,1201.46,1.2936911961603843,2.3371322092902163
12372,72,3,663.54,550,32,221.17999999999998,0.5736583994462406,0.4587261896119934
12373,311,1,221.10000000000002,126,10,221.10000000000002,-1.537808430337722,1.3114478573183808
