CustomerID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,AvgOrderValue,PC1,PC2,Cluster
12347,2,7,2783.37,1701,93,397.6242857142857,3.290377193825321,-0.6587708195600768,0
12348,249,3,90.2,140,6,30.066666666666663,-2.3772491913279765,-0.9728763472948418,2
12349,19,1,939.75,511,57,939.75,1.3792734585565474,1.663138898870179,1
12350,310,1,294.40000000000003,196,16,294.40000000000003,-0.9775855119884664,1.6276495169318772,2
12352,36,7,1130.94,500,49,161.56285714285715,1.3315387626976851,-0.5259034430654824,3
12353,204,1,29.300000000000004,14,2,29.300000000000004,-4.319302984910296,-0.8589651646546985,2
12354,232,1,642.13,355,39,642.13,0.2593352558291188,2.3023497783444977,2
12355,214,1,179.4,72,8,179.4,-1.902240931976963,0.9195606837234862,2
12356,246,2,491.06,386,25,245.53,-0.156040423225826,1.2019466922821078,2
12357,33,1,1289.35,1077,67,1289.35,1.8472236945489768,2.2239282969118066,3
12358,2,2,92.82,70,5,46.41,-1.7013711237188258,-2.329064976465253,1
12359,58,4,3072.9300000000003,1405,156,768.2325000000001,2.8086050848902,1.5101699439871168,3
12360,52,3,1793.36,1076,97,597.7866666666667,2.108920513494391,1.332990635475408,3
12361,287,1,174.9,90,9,174.9,-1.8641604617792744,1.044283124992914,2
12362,3,10,3922.54,1952,170,392.254,3.826840989923324,-0.6990339747190238,0
12363,110,2,345.78,318,17,172.89,-0.4749736032175617,0.5160335501562562,2
12364,8,3,1106.28,1281,67,368.76,2.032182113739612,0.1478368606480476,1
12365,291,1,307.94,172,20,307.94,-0.8908341545084195,1.6515006098811933,2
12367,4,1,138.3,112,9,138.3,-1.082223674123309,-0.8428171553619523,1
12370,51,4,1927.73,1090,118,481.9325,2.2642477226532,1.009636912531553,3
12371,60,1,1201.46,472,56,1201.46,1.2936911961603843,2.3371322092902163,3
12372,72,3,663.54,550,32,221.18,0.5736583994462406,0.4587261896119934,3
12373,311,1,221.1,126,10,221.1,-1.537808430337722,1.3114478573183808,2
12374,25,1,479.71,313,28,479.71,0.3349496582164349,1.0920536915456798,1
12375,11,2,200.1,102,10,100.05,-1.0257386585005854,-1.0083466968696804,1
12377,315,2,1157.52,834,63,578.76,1.1075671073377755,2.1838158682152256,3
12378,130,1,3188.62,1987,190,3188.62,2.9041675118044297,3.713067818544412,3
12379,82,2,660.24,342,36,330.12,0.4142670626439905,1.0269081192563096,3
12380,22,4,1505.05,796,70,376.2625,1.926528347606862,0.3841895980126138,3
12381,5,5,1253.46,742,63,250.692,2.0237861332475005,-0.6664651757334237,0
12383,185,5,1069.04,985,70,213.808,1.289795152366681,0.6624362457759424,3
12384,29,2,286.32,107,17,143.16,-0.730115734504914,-0.2660403864024961,1
12386,367,1,144.3,82,6,144.3,-2.2454441876165494,0.9413212784602945,2
12388,16,6,1465.66,814,48,244.27666666666667,1.860754045424984,-0.3743870374615356,0
12390,80,1,407.74,308,26,407.74,-0.0769775836732876,1.4192586481823657,2
12391,22,1,428.11,270,89,428.11,0.6716626795957827,1.038064894127264,1
12393,72,4,1193.5,618,45,298.375,1.2245959451967223,0.6097207916843059,3
12394,217,1,331.18,178,19,331.18,-0.7764809653882271,1.5898475047206548,2
12395,19,12,1844.57,1191,75,153.71416666666667,2.396404400377285,-1.057408439323415,0
12397,36,2,1720.01,1139,96,860.005,2.1704194543548407,1.6886273434103691,3
12398,46,1,1273.24,1299,80,1273.24,1.9042912538716936,2.377219508817648,3
12399,119,4,684.6,690,41,171.15,0.6800690397947309,0.3349617427536473,3
12401,303,1,32.85,7,2,32.85,-4.54597061378006,-0.6385268735514376,2
12402,323,1,195.6,92,10,195.6,-1.7557813545990155,1.2007751654899788,2
12403,50,1,9.9,2,1,9.9,-5.570874692649778,-2.474541905377405,2
12405,149,1,708.57,407,34,708.57,0.4297649700058257,2.1998289174722667,2
12406,22,2,1646.22,1158,69,823.11,2.115319666551825,1.4219330724344736,3
12407,50,5,932.01,814,46,186.402,1.230736595594932,-0.0494540269114937,3
12408,33,5,1311.77,889,67,262.354,1.7694184750642743,0.1171257065508955,3
